,smiles
945,CCCc1c2c(nc(-c3ccccc3)c1C(=O)OCC)CCSC2=O
946,Cn1cc2c(nc(NC(=O)Nc3cc4ccccc4o3)n3nc(-c4ccco4)nc23)n1
947,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NC3CC3)nc(Cl)nc21
948,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccc(S(=O)(=O)O)cc4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
949,O[C@H]1[C@@H](O)C[C@@]2(n3cnc4c(NC5CC5)nc(Cl)nc43)C[C@@H]12
950,CCC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
951,COc1ccc(-c2cc(NC(=O)C(C)C)nc(-c3ccc(OC)cc3)n2)cc1
952,Cc1cc(-c2nc3c([nH]2)C2=NC(C)CN2C(=O)N3Cc2ccccc2)nn1C
953,C=CCN1C(=O)N2C[C@@H](C)N=C2c2[nH]c(-c3cc(C)n(C)n3)nc21
954,CCOC(=O)CN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1
955,COc1ccc(C(=O)Nc2nc3ccc(Cl)cc3n3c(=O)c(-c4ccc(C)cc4)nn23)cc1
956,Cn1cc2c(nc(NC(=O)NC3CCN(Cc4ccc([N+](=O)[O-])cc4)CC3)n3nc(-c4ccco4)nc23)n1
957,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCCC(=O)O)nc31)[C@H](O)[C@@H]2O
958,COC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
959,NCCNC(=O)Cc1ccc(NC(=O)Cc2ccc(Nc3ncnc4c3ncn4[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)cc2)cc1
960,CCOC(=O)N1Cc2nc(-c3ccccc3)nn2-c2cc(C)ccc21
961,CNc1ncc(C(=O)NCc2ccc(OC)cc2)c2nc(-c3ccco3)nn12
962,C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(C)n(C)n3)nc21
963,O=C(Nc1nc2nn(CCCc3ccccc3)cc2c2nc(-c3ccco3)nn12)C(c1ccccc1)c1ccccc1
964,CC[C@@H]1CN2C(=O)N(Cc3ccccc3)c3nc(-c4cc(C)nn4C)[nH]c3C2=N1
965,CCC(=O)Nc1cc(-c2ccoc2)nc(-c2ccoc2)n1
966,COc1ccc(Cl)cc1CNc1nc(Cl)nc2c1ncn2[C@@H]1SC[C@@H](O)[C@H]1O
967,Cn1cc2c(nc(NC(=O)Cc3ccc(Cl)cc3)n3nc(-c4ccco4)nc23)n1
968,COc1cc(CCNc2nc(C#Cc3ccc(F)c(F)c3)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)ccc1O
969,C#CCCCCCNC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12
970,C#CCCCCCC(=O)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12
971,Clc1ccc(C#Cc2nc(NCCc3ccccc3)c3nc[nH]c3n2)s1
972,CONc1nc(C#C[Si](C)(C)C)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
973,CONc1nc(C#Cc2ccccc2)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21
974,COc1ccc(NC(=O)Nc2nc3cn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1
975,O[C@@H]1[C@H](O)CO[C@H]1n1cnc2c(NCc3cccc(Br)c3)nc(Cl)nc21
976,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NC4CCCC4)ncnc31)[C@H](O)[C@@H]2O
977,COc1cc(CCNc2nc(OCC(C)C)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)ccc1O
978,CC[C@H]1CN2C(=O)N(Cc3ccccc3)c3nc(-c4cc(C)nn4C)[nH]c3C2=N1
979,CCCC/C=C/c1nc(N)c2ncn([C@@H]3SC[C@@H](O)[C@H]3O)c2n1
980,O=C(Nc1cccc(Cl)c1)Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccco3)nn12
981,COc1ccc(CN2CCC(NC(=O)Nc3nc4nn(C)cc4c4nc(-c5ccco5)nn34)CC2)cc1
982,Cn1cc2c(nc(NC(=O)NC3CCN(C(=O)NC4CCCCC4)CC3)n3nc(-c4ccco4)nc23)n1
983,Cc1ccc(-c2nc(N)c3nc(-c4ccco4)sc3n2)o1
984,Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
985,Cc1ccc(CN2CCC(NC(=O)Nc3nc4nn(C)cc4c4nc(-c5ccco5)nn34)CC2)cc1
986,CCc1cn(-c2nc(NC)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)nn1
987,C=CCN1C(=O)N2CC(C)N=C2c2[nH]c(-c3cc(C)n(C)n3)nc21
988,CN1C(=O)C2Nc3cccnc3C2N(C)C1=O
989,CC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
990,Cn1c(=O)c2[nH]c3cccnc3c2n(C)c1=O
991,C#CCn1c(=O)c2c(nc3ccccn32)n(Cc2ccccc2)c1=O
992,Cc1cccc(-n2cc3c(n2)c(NC(=O)C(c2ccccc2)c2ccccc2)nc2ccccc23)c1
993,CC(C)(C)c1cc(C(=O)NCCCCCCNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc(C(C)(C)C)c1O
994,O=C(Nc1ccncc1)Nc1nc2nn(CCCOCc3ccccc3)cc2c2nc(-c3ccco3)nn12
995,CCNc1c2c(nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc23)nn1C
996,CCc1nc2cn(-c3ccc(OC)cc3)nc2c(=O)[nH]1
997,CCCN(CCC)S(=O)(=O)c1ccc(NC(=O)Nc2ncnc3c2ncn3C2O[C@H](C(=O)NCC)[C@@H](O)[C@H]2O)cc1
998,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4ccc(N)cc4)nc(Cl)nc31)[C@H](O)[C@@H]2O
999,CCn1cc2c(nc(NC(=O)Cc3ccc(-c4ccccc4)cc3)n3nc(-c4ccco4)nc23)n1
1000,Nc1ccc(CCNc2nc(C#Cc3ccccc3)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)cc1
1001,CNc1ncc(C(=O)OCc2ccccc2Br)c2nc(-c3ccco3)nn12
1002,COc1ccc(CC(=O)Nc2nc3ccc(Cl)cc3c3nc(-c4ccco4)nn23)cc1
1003,Cn1cc2c(nc(NC(=O)Cc3ccc4ccccc4c3)n3nc(-c4ccco4)nc23)n1
1004,CCC(=O)Nc1cc(-c2ccc3c(c2)OCO3)nc(-c2ccc3c(c2)OCO3)n1
1005,Cn1cc2c(nc(NC(=O)NC3CCN(C(=O)NCCCc4ccccc4)CC3)n3nc(-c4ccco4)nc23)n1
1006,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CC4c4cccc(Br)c4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1007,CCCCC#Cc1nc(N)c2ncn([C@@H]3O[C@H](CSC)[C@@H](O)[C@H]3O)c2n1
1008,CCCCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12
1009,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NC4C5CCC4CC5)nc(Cl)nc31)[C@H](O)[C@@H]2O
1010,CCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
1011,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NC(=O)Nc4ccc(S(N)(=O)=O)cc4)ncnc32)[C@H](O)[C@@H]1O
1012,Cn1cc2c(nc(NCc3ccc(C(F)(F)F)cc3)n3nc(-c4ccco4)nc23)n1
1013,COc1cccc(-c2cc(NC(C)=O)nc(-c3cccc(OC)c3)c2)c1
1014,O=C(Nc1nc2c([N+](=O)[O-])cccc2n2c(=O)n(-c3ccccc3)nc12)C(c1ccccc1)c1ccccc1
1015,CNc1nc(-n2cc(-c3ccccc3)nn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1016,Nc1nc(-c2ccccc2)nc2sc(-c3ccco3)nc12
1017,O=C(Nc1nc2ccccc2n2c(=O)c(-c3ccccc3)nn12)c1cccc(Cl)c1
1018,CCCn1cc2c(nc(NC(=O)NC(C)(C)C)n3nc(-c4ccco4)nc23)n1
1019,O=C(NCc1ccc(F)cc1)c1cnn(-c2nc(N[C@H]3CCCO3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
1020,OCc1cnn(-c2nc(Nc3ccc(C(F)(F)F)cc3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
1021,CNc1nc(-n2cc(-c3ccc(OC)cc3)cn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1022,C#CCn1c(=O)c2c(nc3[nH]c(C)cn32)n(Cc2ccccc2)c1=O
1023,CCCn1c(=O)c2c(nc3[nH]c(CC)cn32)n(Cc2ccccc2)c1=O
1024,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OC)ncnc32)[C@H](O)[C@@H]1N
1025,COc1ccc(NC(=O)Nc2nc3cn(C)cc3c3nc(-c4ccco4)nn23)cc1
1026,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCC4CCC4)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O
1027,CCC1CN2C(=O)N(Cc3ccccc3)c3nc(-c4cc(C)n(C)n4)[nH]c3C2=N1
1028,CNc1ncc(C(=O)NNc2ccccc2)c2nc(-c3ccco3)nn12
1029,CCOC[C@H]1O[C@@H](n2cnc3c(N)nc(Cl)nc32)[C@H](O)[C@@H]1O
1030,CCOc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@]12C[C@H](O)[C@H](O)[C@@H]1C2
1031,CCOc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21
1032,Clc1ccc2ncc3nc(-c4ccccc4)nn3c2c1
1033,CNc1ncc(C(=O)NCc2ccc(C(F)(F)F)cc2)c2nc(-c3ccco3)nn12
1034,Cc1ccc(-c2nc3c(N)nc(NCc4cccs4)nc3s2)o1
1035,CCn1nnc([C@H]2O[C@@H](n3cnc4c(NC5CCCO5)ncnc43)[C@H](O)[C@@H]2O)n1
1036,CNC(=O)[C@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCC(=O)NCCNCCN)nc31)[C@H](O)[C@@H]2O
1037,Cn1cc2c(nc(NC3CCCCCC3)n3nc(-c4ccco4)nc23)n1
1038,Cn1cc2c(nc(NC3CCCCCCC3)n3nc(-c4ccco4)nc23)n1
1039,CCOC(=O)C(C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12
1040,CN(C)C(=O)[C@H]1S[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
1041,O=C(Nc1nc2ccccc2c2cn(-c3ccccc3)nc12)c1ccccn1
1042,O=c1n(-c2ccccc2)nc2c(NC3CCCCC3)nc3ncccc3n12
1043,CNc1ncnc2c1ncn2[C@@H]1S[C@H](C(=O)NCc2cccc(I)c2)[C@@H](O)[C@H]1O
1044,CCCCC#Cc1nc(N)c2nc(-c3cccs3)n([C@@H]3OC[C@@H](O)[C@H]3O)c2n1
1045,CC(=O)Nc1cc(/C=C/c2ccccc2)nc(/C=C/c2ccccc2)n1
1046,Nc1nc(-c2cccc(O)c2)nc2sc(-c3ccco3)nc12
1047,CCC(=O)Nc1nc2ccccc2n2c(=O)n(-c3ccccc3)nc12
1048,COc1ccc(-c2cc(NC(=O)C(C)C)nc(-c3ccc(OC)cc3OC)n2)c(OC)c1
1049,COc1ccc(NC(=O)Nc2nc3nn(CCc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1
1050,COc1ccc(-n2nc3c(=O)[nH]c4ccccc4n3c2=O)cc1
1051,Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1052,COc1ccc(NC(=O)Nc2nc3nn(Cc4cccc5ccccc45)cc3c3nc(-c4ccco4)nn23)cc1
1053,CCCCC#Cc1nc(NCc2cccc(F)c2)c2ncn([C@H]3[C@H](O)[C@H](O)[C@@H]4C[C@@H]43)c2n1
1054,Cc1nc2cn(-c3ccccc3)nc2c(=O)[nH]1
1055,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCc4ccccc4)ncnc32)[C@H](O)[C@@H]1N
1056,N#Cc1cccc(-c2nc(Nc3cnccn3)sc2-n2cncn2)c1
1057,COc1ccc(-n2cc3c(O)nc4ccccc4c3n2)cc1
1058,Cn1cc2c(nc(NC(=O)Nc3ccco3)n3nc(-c4ccco4)nc23)n1
1059,CCn1nnc([C@H]2O[C@@H](n3cnc4c(N[C@H]5C[C@@H]6CC[C@@H]5C6)nc(Cl)nc43)[C@H](O)[C@@H]2O)n1
1060,CCCCC#Cc1nc(N)c2ncn([C@H]3[C@H](O)[C@H](O)[C@@H]4C[C@@H]43)c2n1
1061,CCCCCCCCn1cc2c(nc(NC(=O)NC3CCCCC3)n3nc(-c4ccco4)nc23)n1
1062,CCOC(=O)C[C@H](Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12)C(=O)OCC
1063,COc1ccc(CCNc2nc(C#Cc3ccccc3)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)cc1OC
1064,CCCNc1nc(C#Cc2ccc(Cl)s2)nc2[nH]cnc12
1065,CNc1ncc(C(=O)NCCOc2ccccc2)c2nc(-c3ccco3)nn12
1066,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CC4c4cccc(F)c4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1067,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCc3cc(F)ccc3F)nc(Cl)nc21
1068,O[C@H]1[C@@H](O)C[C@@]2(n3cnc4c(NCc5cc(F)ccc5F)nc(Cl)nc43)C[C@@H]12
1069,COc1ccc(-c2nc3c4cn(C)nc4nc(N)n3n2)cc1
1070,CC(=O)Nc1cc(-c2ccc(F)cc2)nc(-c2ccc(F)cc2)n1
1071,CCCn1c(=O)c2[nH]c3cccnc3c2n(CCC)c1=O
1072,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(N[C@@H]4C[C@H]4c4ccc(F)c(F)c4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1073,CCNC(=O)[C@H]1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N5CCCCC5)cc4)ncnc32)[C@H](O)[C@@H]1O
1074,COc1ccc(-c2nc(N)c3nn(-c4ccc(OC)cc4)cc3n2)cc1
1075,COc1ccc(C(=O)Nc2nc(-c3ccccn3)cc3ccccc23)cc1
1076,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NC(C3CC3)C3CC3)ncnc21
1077,CC(C)Nc1nc(C#Cc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1078,CCCc1nc2[nH]c(-c3ccccc3)nc(-c3ccccc3)c-2n1
1079,O=C(Nc1nc2nn(CCc3ccccc3)cc2c2nc(-c3ccc(F)cc3)nn12)c1ccccc1
1080,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(C#CCCCC(=O)O)c4)nc(Cl)nc31)[C@H](O)[C@@H]2O
1081,CCOC(=O)C(CO)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12
1082,CCN1/C(=C\C=C\C=C\C2=[N+](CCCCCC(=O)NCCNC(=O)CCC#Cc3nc(NCc4cccc(Cl)c4)c4ncn([C@H]5[C@H](O)[C@H](O)[C@@]6(C(=O)NC)C[C@H]56)c4n3)c3ccccc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)[O-])ccc21
1083,COc1ccc(-n2cc3c(n2)c(N(C(=O)c2ccccc2)C(=O)c2ccccc2)nc2ccccc23)cc1
1084,Cc1cc(-c2nc3c([nH]2)C2=NC(C)CN2C(=O)N3Cc2ccccc2)n(C)n1
1085,CCN1/C(=C\C=C\C=C\C2=[N+](CCCCCC(=O)NCCNC(=O)CCC#Cc3nc(NCc4cccc(Cl)c4)c4ncn([C@H]5[C@H](O)[C@H](O)[C@]6(C(=O)NC)C[C@H]56)c4n3)c3ccc(S(=O)(=O)[O-])cc3C2(C)C)C(C)(C)c2cc(S(=O)(=O)O)ccc21
1086,CCCn1cc2c(nc(NC(=O)Cc3cccc4ccccc34)n3nc(-c4ccco4)nc23)n1
1087,Clc1ccc(C#Cc2nc(NC3CCCC3)c3nc[nH]c3n2)s1
1088,CNc1nc(Cl)nc2c1ncn2[C@@H]1S[C@H](C(=O)NCc2cccc(F)c2)[C@@H](O)[C@H]1O
1089,CC(C)c1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1
1090,CCSC[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O
1091,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CC4c4cccc(C)c4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1092,Cn1cc2c(nc(NC3CCC3)n3nc(-c4ccco4)nc23)n1
1093,CCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccc(C(F)(F)F)cc2)C1C#Cc1ccccc1
1094,Cc1nc2sc(-c3ccc(Cl)cc3)nc2c(=O)[nH]1
1095,COc1ccc(-n2cc3nc(-c4ccccc4)nc(NC(=O)c4ccccc4)c3n2)cc1
1096,COc1ccc(Cl)c(CNc2nc(-n3cc(CC4CCCC4)nn3)nc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c1
1097,Cn1cc2c(nc(N=C(Nc3ccc([N+](=O)[O-])cc3)Nc3ccc([N+](=O)[O-])cc3)n3nc(-c4ccco4)nc23)n1
1098,O=C(Cc1ccccc1)Nc1nc(-c2ccccc2)nc2cn(-c3ccccc3)nc12
1099,CN(Cc1ccccc1)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12
1100,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCC(=O)N4CCCCC4)ncnc32)[C@H](O)[C@@H]1N
1101,COc1ccc(-c2csc3nc(=O)cc(N)n23)cc1
1102,CC(=O)Nc1cc(-c2ccccc2F)nc(-c2ccccc2F)n1
1103,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC(F)(F)F)c1CCC
1104,O=C(NC1CCC1)[C@H]1S[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
1105,Nc1nc(NCc2cccnc2)nc2sc(-c3ccco3)nc12
1106,CCC(=O)Nc1cc(-c2ccc(C)cc2)nc(-c2ccc(C)cc2)n1
1107,Cn1cc2c(nc(NC3C4CC5CC(C4)CC3C5)n3nc(-c4ccco4)nc23)n1
1108,COC(=O)/C=C/c1cc(C)cc(-c2nc(NC(=O)c3cccnc3)sc2-c2ccncc2)c1
1109,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CCC
1110,CCCNC(=O)c1cnn(-c2nc(NC)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
1111,Oc1nc2ccccc2c2nn(-c3ccc(Cl)cc3)cc12
1112,CCCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)OCC)c1CCC
1113,CCNC(=O)[C@H]1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N5CC=CC5)cc4)ncnc32)[C@H](O)[C@@H]1O
1114,COC[C@H]1CCCN1c1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1
1115,CCOC(=O)c1cnn(-c2nc(NC3CCCC3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
1116,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)NCCOOCCCCN)cc3)n3nc(-c4ccco4)nc23)n1
1117,Cn1cc2c(nc(NC(=O)Nc3ccc(CC(=O)OCCOCCOCCN)cc3)n3nc(-c4ccco4)nc23)n1.O=C(O)C(F)(F)F
1118,COc1ccc(NC(=O)c2nc(=O)[nH]c3ccccc23)cc1
1119,NCCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
1120,COc1ccc(NC(=O)Nc2nc3nn(CCCc4ccccc4)cc3c3nc(-c4ccco4)nn23)cc1
1121,COc1ccccc1CNc1nc(Cl)nc2c1ncn2[C@@H]1SC[C@@H](O)[C@H]1O
1122,O=C(Nc1nc(-c2ccccc2)nc2cn(-c3ccccc3)nc12)c1ccccc1
1123,CCOC(=O)c1c(-c2ccccc2)nc(C)c(C(=O)SCC)c1C
1124,CCOC(=O)Cn1c(=O)c2c(nc3[nH]c(C)cn32)n(Cc2ccccc2)c1=O
1125,C[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccccc4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1126,CCNC(=O)c1cnn(-c2nc(NC3CCCC3)c3ncn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)c1
1127,CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cc(Cl)ccc4OCC(=O)N4CCOCC4)ncnc32)[C@H](O)[C@@H]1N
1128,C=C[C@H]1O[C@@H](n2cnc3c(NOC)nc(Cl)nc32)[C@H](O)[C@@H]1O
1129,CCNC(=O)[C@H]1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N5CCOCC5)cc4)ncnc32)[C@H](O)[C@@H]1O
1130,CCCCC#Cc1nc2c(N)ncnc2n1[C@@H]1SC[C@@H](O)[C@H]1O
1131,CCNC(=O)[C@H]1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)NC(C)(C)C)cc4)ncnc32)[C@H](O)[C@@H]1O
1132,O[C@@H]1[C@H](O)[C@@H]2C[C@@H]2[C@H]1n1cnc2c(NCCc3ccccc3)nc(C#Cc3ccccc3)nc21
1133,Cc1nc(NC(=O)c2ccco2)c2nn(-c3ccccc3)cc2n1
1134,CCOC(=O)c1c(-c2ccccc2)nc(CC)c(C(=O)SCC)c1CC
1135,CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC)nc(C#CC(O)c4cccc(C(=O)O)c4)nc32)[C@H](O)[C@@H]1O
1136,CC(=O)Nc1cc(-c2ccsc2)nc(-c2ccsc2)n1
1137,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NC4CC4c4ccc(F)c(F)c4)nc(C#Cc4ccccc4)nc31)[C@H](O)[C@@H]2O
1138,CCc1cn2c(NC(=O)C3CCCC3)nc(-c3ccccc3)nc2n1
1139,CC(=O)Nc1cc(-c2ccc(C)cc2)cc(-c2ccc(C)cc2)n1
1140,O[C@@H]1[C@H](O)[C@@H](COC2CC2)O[C@H]1n1cnc2c(NCc3cccc(I)c3)nc(Cl)nc21
1141,CC(C)CCn1cc2c(nc(NC(=O)NC3CCCCC3)n3nc(-c4ccco4)nc23)n1
1142,Clc1ccc(C#Cc2nc(N[C@H]3C[C@H]4CC[C@@H]3C4)c3nc[nH]c3n2)s1
1143,COc1ccn2c(c1)nc1c2c(=O)n(C)c(=O)n1Cc1ccccc1
1144,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCCc4ccc(O)c(O)c4)nc(C#Cc4ccc(Cl)s4)nc31)[C@H](O)[C@@H]2O
1145,Cn1cc2c(NC(=O)Nc3ccccc3)nc(-c3ccccc3)nc2n1
1146,CCCn1cc2c(nc(NC(=O)NC(C)C)n3nc(-c4ccco4)nc23)n1
1147,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCC4CCC4)nc(-n4cc(-c5ccc(Cl)s5)nn4)nc31)[C@H](O)[C@@H]2O
1148,Cn1cc2c(nc(NC(=O)NC3CCN(C(=O)Nc4ccncc4)CC3)n3nc(-c4ccco4)nc23)n1.O=C(O)C(F)(F)F
1149,O=c1n(-c2ccccc2)nc2c(OCc3ccccc3)nc3ccccc3n12
1150,Cn1cc2c(nc(NC(=O)Nc3cc[n+]([O-])cc3)n3nc(-c4ccco4)nc23)n1
1151,COc1ccc(CNc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)cc1OC
1152,CNc1nc(-n2cc(CC3CCCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
1153,CCO/C(O)=C1\C(C)=NC(c2ccccc2)=C(C(=O)OCc2ccccc2)[C@H]1C#Cc1ccccc1
1154,CN(C)C(=O)[C@H]1S[C@@H](n2cnc3c(NCc4cccc(Cl)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O
1155,C=CCN1C(=O)N2CC(CC)N=C2c2[nH]c(-c3cc(OCc4ccccc4)nn3C)nc21
1156,CCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
1157,CCC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1
1158,O=C(Nc1nc2c([N+](=O)[O-])cccc2n2c(=O)n(-c3ccccc3)nc12)c1ccccc1
1159,CC(C)(C)OC(=O)NCCCCC(=O)Nc1nc2ccc(Cl)cc2c2nc(-c3ccco3)nn12
1160,CCCSc1nc(NC(C)=O)cc(OCC2CCCCC2)n1
1161,CCCn1c(=O)c2c(nc3[nH]c(-c4ccc(F)cc4)cn32)n(Cc2ccccc2)c1=O
1162,[N-]=[N+]=NC[C@H]1S[C@@H](n2cnc3c(Nc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O
1163,CCNC(=O)[C@H]1OC(n2cnc3c(NC(=O)Nc4ccc(S(=O)(=O)N5CCCC5)cc4)ncnc32)[C@H](O)[C@@H]1O
1164,COc1ccc(-n2nc3c(N)nc4c(N)cccc4n3c2=O)cc1
1165,OC[C@H]1O[C@@H](n2cnc3c(NCc4ccco4)ncnc32)[C@H](O)[C@@H]1O
1166,Nc1cccc2c1nc(NC(=O)c1ccccc1)c1nn(-c3ccccc3)c(=O)n12
1167,COc1ccc(C(=O)Nc2nc(-c3ccccc3)nc3nn(Cc4ccccc4)cc23)cc1
1168,O=C(Nc1nc(-c2ccccc2)nc2nn(CCc3ccccc3)cc12)c1cccc(Cl)c1
1169,Cc1cccc(-n2cc3c(n2)c(NC2CCCC2)nc2ccccc23)c1
1170,CNC(=O)[C@@]12C[C@@H]1[C@@H](n1cnc3c(NCc4cccc(Cl)c4)nc(C#CCCCCc4cn(CCNC(C)=O)nn4)nc31)[C@H](O)[C@@H]2O
1171,CCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1
1172,CNc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@]2(CO)C[C@H]12
1173,CCOC(=O)C1=C(C)NC(C2CCC2)=C(C(=O)OCc2ccccc2)C1C#Cc1ccccc1
1174,CCCCNc1nc(N)c2nc(-c3ccco3)sc2n1
