,smiles,pchembl
53,CCCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4ccc(C#N)cc4)cc3)n2)n(CCC)c1=O,6.24
54,Cn1cc2c(n1)nc(NC(=O)NC1CCN(Cc3ccc(F)cc3)CC1)n1nc(-c3ccco3)nc21,7.62
55,CCOC(=O)CCCNc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,6.97
56,CNc1ncc(C(=O)OCc2ccc(OC)cc2)c2nc(-c3ccco3)nn12,8.25
57,Cc1cn2c(=O)n(-c3ccc(O)cc3)nc2c(N)n1,5.29
58,CCCCC(=O)Nc1cc(-c2ccccc2)nc(-c2ccccc2)n1,6.41
59,O=C(C1OC(n2cnc3c2nc(Cl)nc3NC2CC2)C(O)C1O)N1CCOCC1,5.35
60,CNC(=O)OC(CC(C)C)c1nc(C2OC(=O)C(C)C=CC(C)=CC(O)C(C)C=C(C)C=C(C)C=CC(O)C(C)C(OC)C(C)=CC=CC2C)cs1,5.94
61,O=C(NC1CC1)C12CC1C(n1cnc3c1nc(Cl)nc3NC1CC3CCC1C3)C(O)C2O,7.23
62,c1ccc(-c2ccc(Nc3nc(NC4CCCCC4)c4nc[nH]c4n3)cc2)cc1,5.27
63,CCOC(=O)C1=C(c2ccccc2)N=C(CC)C(=C(O)SCC)C1CC,4.82
64,CCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4ccc(C(C)=O)cc4)cc3)n2)n(CCCOC)c1=O,6.15
65,CCn1c(=O)c2c([nH]c(C3CCCC3)n2)n(CC)c1=O,5.76
66,CCOC(=O)c1c(CCN2C(=O)c3c(cccc3)C2=O)c(C(=O)SCC)c(CC)[n+](C)c1-c1ccccc1,5.9
67,CCCSc1nc(OCc2ccc(Cl)cc2Cl)cc(NC(C)=O)n1,7.52
68,N#Cc1cccc(-c2c(-n3cncn3)sc(NC(=O)O)n2)c1,6.87
69,O=C(NCc1cccc(Cl)c1)C1SC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C(O)C1O,6.51
70,Cn1cc2c(n1)nc(NCCCCCCO)n1nc(-c3ccco3)nc21,6.81
71,O=C(NCc1cccc(F)c1)C1SC(n2cnc3c2ncnc3NCc2cc(I)ccc2)C(O)C1O,7.21
72,OC1COC(n2cnc3c2ncnc3NCc2cccc(Br)c2)C1O,7.23
73,CC(C)N(C)C(=O)c1cc(Cn2nnc3c2nc(N)nc3-c2ccco2)ccc1,5.61
74,CNc1c2ncn(C3SCC(O)C3O)c2nc(Cl)n1,7.305
75,OC1C(O)C(n2cnc3c2nc(C#Cc2ccccc2Cl)nc3NCC(c2ccccc2)c2ccccc2)C2CC12,6.85
76,CNC(=O)C1OC(n2cnc3c2nc(C#Cc2ccc(F)cc2)nc3NC)C(O)C1O,9.37
77,CNc1c2ncn(C3OC(C(=O)NCCc4cccc(F)c4)C(O)C3O)c2nc(Cl)n1,7.07
78,CCOC(=O)c1nc(NC(=O)c2ccc(F)cc2)nc2nn(CC(C)(C)C)cc12,5.37
79,CCOC(=O)c1c(NC(=O)c2c(N(C)C)nc(Nc3ccc(OC)cc3)s2)sc(C(=O)OC)c1C,5.56
80,CNC(=O)C1OC(n2cnc3c2nc(Cl)nc3NC2CCCC2)C(O)C1O,8.37
81,CCCN1CCC(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)CC1,7.15
82,COc1ccc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccc(C(F)(F)F)cc4)nn23)cc1,8.63
83,COc1cc(Cn2nnc3c2nc(N)nc3-c2ccco2)ccc1,6.25
84,Cc1ccc(C(=O)Nc2nc(-c3ccccc3)c(-c3nc(N(C)C)nc(N)n3)s2)cc1,6.09
85,CCSCCn1c(=O)n(CC)c(=O)c2c1nc(-c1ccccc1)[nH]2,6.39
86,CCNC(=O)C1OC(n2cnc3c2nc(NCCCN2CCN(c4ccccc4)CC2)nc3N)C(O)C1O,5.26
87,CCn1cc2c(n1)nc(NC(=O)Nc1ccc(C(F)(F)F)cc1)n1nc(-c3ccco3)nc21,8.01
88,CSc1nc2nc(-c3ccco3)nn2c(N)n1,5.59
89,CCNc1c2ncn(C3C(O)C(O)C4CC43)c2nc(Cl)n1,7.199999999999999
90,CCCCNc1c2ncn(C3C(O)C(O)C4(C(=O)NC)CC34)c2nc(C#Cc2ccc(Cl)s2)n1,8.54
91,O=[N+]([O-])OCC1OC(n2cnc3c2ncnc3NC2CCCC2)C(O)C1O,6.15
92,COc1ccccc1Cn1cc2nc(-c3ccco3)nc(N)c2n1,6.71
93,COc1cc(NC(=O)Nc2nc3nn(C)cc3c3nc(-c4ccco4)nn23)ccc1,8.1
94,CCCn1c(=O)c2c([nH]c3nc(CC)cn32)n(Cc2ccccc2)c1=O,7.82
95,N#Cc1c(-c2ccco2)c(C#N)c(SCC(N)=O)nc1N,6.75
96,COc1ccc(-c2nc3c(ncnc3NC3CCCC3)n2C)cc1,5.73
97,Nc1nc(-c2ccc(NC(=O)c3ccc(C(=O)NO)cc3)cc2)cn2c(=O)n(-c3ccccc3)nc12,6.26
98,Nc1c2ncn(C3OC(CO)C(O)C3O)c2nc([N+](=O)[O-])n1,6.7
99,Nc1c2ncn(C3C(O)C(O)C4(CO)CC34)c2ncn1,6.39
100,Cc1nn(C)c(-c2nc3c([nH]2)N(Cc2ccccc2)C(=O)N2CC(C)N=C32)c1,7.76
101,CCCn1c(=O)c2c([nH]c3nc(C(C)C)cn32)n(Cc2ccccc2)c1=O,7.51
102,Cc1ccccc1CNc1nc(Cl)nc2c1ncn2C1OC(C(=O)N(C)C)C(O)C1O,6.2
103,CCCCn1c(=O)c2c(nc3N(CCc4ccc(O)cc4)CCCn32)n(CCCC)c1=O,6.21
104,Nc1nc(-n2cccn2)nc(-n2cccn2)c1Br,5.3
105,CCn1c(=O)c2c([nH]c(-c3ccc(OCC(=O)Nc4cnccc4)cc3)n2)n(CCCOC)c1=O,7.02
106,c1nc2c(nc(Nc3ccc(N4CCOCC4)cc3)nc2NC2CCC2)[nH]1,5.74
107,CCNC(=O)C1OC(n2cnc3c2nc(Cl)nc3Nc2ccc(OCC(=O)NCc3ccccc3)cc2)C(O)C1O,7.12
108,CNC(=O)C12CC1C(n1cnc3c1nc(C#Cc1ccc(Cl)s1)cc3NC1CC1)C(O)C2O,8.0
109,O=C(c1ccco1)N(C(=O)c1ccco1)c1nc(-c2ccccc2)nc2cn(-c3ccccc3)nc12,7.12
110,CC(C)CCn1cc2c(n1)nc(NC(=O)NC(C)C)n1nc(-c3ccco3)nc21,5.69
111,CCCn1c(=O)c2c([nH]c(-c3cn(Cc4noc(-c5ccc(C#N)cc5)n4)nc3)n2)n(CCC)c1=O,6.19
112,COc1cccc(-c2nc(N)c3nc(-c4ccco4)sc3n2)c1,8.31
113,COc1cc2nc3c(c(=O)n(C)c(=O)n3Cc3ccccc3)n2cc1,7.689999999999999
114,CCOC(=O)c1c(NC(=O)c2c(-c3ccc(C)cc3)nc(Nc3ccc(C)cc3)s2)sc2c1CCCC2,5.67
115,Fc1ccc(CNc2nc3nc(-c4ccco4)nn3c(NCc3ccc(F)cc3)n2)cc1,6.91
116,CC1CN2C(=O)N(Cc3ccccc3)c3c(nc(-c4cc(OCc5ccccc5)nn4C)[nH]3)C2=N1,7.35
117,CNC(=O)C1OC(n2cnc3c2nc(C#Cc2ccccc2)nc3NOC)C(O)C1O,8.72
118,O=C(NCc1cccc(Cl)c1)C1OC(n2cnc3c2nc(Cl)nc3NCc2cc(I)ccc2)C(O)C1O,6.51
119,CCC(=O)Nc1cc(-c2c(OC)cc(OC)cc2)nc(-c2ccc(OC)cc2OC)n1,7.95
120,CNc1nc(-n2cc(CC3CCCCC3)nn2)nc2c1ncn2C1OC(CO)C(O)C1O,7.67
121,CCCOC(=O)N1Cc2nc(-c3ccccc3)nn2-c2c1ccc(C)c2,6.77
122,Nc1nc(-c2ccc(OCC(O)CN3CCCCC3)cc2)cn2c(=O)n(-c3ccccc3)nc12,6.3
123,Cn1c(-c2ccccc2)nc2c1ncnc2N,4.85
124,Cc1ccc(C(=O)Nc2nc3nn(CC(C)(C)C)cc3c(Cl)n2)cc1,5.3
125,Nc1nc2c(cccc2)n2c(=O)c(-c3ccc(F)cc3)nn12,6.43
126,O=C(NCCO)C12CC1C(n1cnc3c1nc(Cl)nc3NC1CC3CCC1C3)C(O)C2O,6.9
127,CCCCN(C)c1nc2nn(C)cc2c2nc(-c3ccco3)nn12,7.43
128,CCn1c(C#Cc2ccccc2)nc2c1ncnc2N,7.07
129,CCOC(=O)c1nc(NC(=O)Cc2ccccc2)nc2nn(CC(C)(C)C)cc12,5.37
130,Cc1nn(CC2OC(n3cnc4c3ncnc4NC3CC4CCC3C4)C(O)C2O)c(C)c1,5.26
131,CC(=O)Nc1nc(C)nc2cn(-c3ccccc3)nc12,6.52
132,O=C(NCc1ccccc1)Nc1nn(-c2ccccc2)c(=O)c2ccccc12,7.53
133,c1ccc2nc(-c3nc4c(cccc4)[nH]3)cnc2c1,6.12
134,Oc1nc(-c2ccccc2)nc2cn(Cc3ccccc3)nc12,6.89
135,CCCC(=O)Nc1cc(-c2cccs2)nc(-c2cccs2)n1,7.64
